ss_sn,student_id,faculty_id,course_id,course_name
1,90017341235,100200,BIO3311 ,Biology 
2,90017341237,100200,BIO3311 ,Biology 
3,90017341239,100200,BIO3311 ,Biology 
4,90017341241,100200,BIO3311 ,Biology 
5,90017341243,100200,BIO3311 ,Biology 
6,90017341245,100200,BIO3311 ,Biology 
7,90017341247,100200,BIO3311 ,Biology 
8,90017341249,100200,BIO3311 ,Biology 
9,90017341251,100200,BIO3311 ,Biology 
10,90017341253,100200,BIO3311 ,Biology 
11,90017341255,100200,BIO3311 ,Biology 
12,90017341257,100200,BIO3311 ,Biology 
13,90017341259,100200,BIO3311 ,Biology 
14,90017341240,100201,BUS2401,Business Analytics
15,90017341241,100201,BUS2401,Business Analytics
16,90017341242,100201,BUS2401,Business Analytics
17,90017341243,100201,BUS2401,Business Analytics
18,90017341244,100201,BUS2401,Business Analytics
19,90017341245,100201,BUS2401,Business Analytics
20,90017341246,100201,BUS2401,Business Analytics
21,90017341247,100201,BUS2401,Business Analytics
22,90017341249,100201,BUS2401,Business Analytics
23,90017341252,100201,BUS2401,Business Analytics
24,90017341258,100201,BUS2401,Business Analytics
25,90017341236,100202,CHEM1105 ,Chemistry
26,90017341237,100202,CHEM1105 ,Chemistry
27,90017341239,100202,CHEM1105 ,Chemistry
28,90017341255,100202,CHEM1105 ,Chemistry
29,90017341257,100202,CHEM1105 ,Chemistry
30,90017341258,100202,CHEM1105 ,Chemistry
31,90017341237,100203,CS1401,Computer Organization
32,90017341239,100203,CS1401,Computer Organization
33,90017341240,100206,CS1401,Computer Organization
34,90017341242,100203,CS1401,Computer Organization
35,90017341244,100203,CS1401,Computer Organization
36,90017341248,100203,CS1401,Computer Organization
37,90017341249,100204,CS1401,Computer Organization
38,90017341251,100203,CS1401,Computer Organization
39,90017341254,100203,CS1401,Computer Organization
40,90017341235,100204,CS1402,Data Structure I
41,90017341237,100204,CS1402,Data Structure I
42,90017341240,100204,CS1402,Data Structure I
43,90017341243,100204,CS1402,Data Structure I
44,90017341246,100204,CS1402,Data Structure I
45,90017341249,100204,CS1402,Data Structure I
46,90017341252,100204,CS1402,Data Structure I
47,90017341255,100204,CS1402,Data Structure I
48,90017341258,100204,CS1402,Data Structure I
49,90017341237,100205,CS2308,Theory of Computation
50,90017341241,100205,CS2308,Theory of Computation
51,90017341245,100205,CS2308,Theory of Computation
52,90017341249,100206,CS2308,Theory of Computation
53,90017341253,100205,CS2308,Theory of Computation
54,90017341257,100205,CS2308,Theory of Computation
55,90017341236,100206,CS2401,Object Oriented Programming
56,90017341238,100206,CS2401,Object Oriented Programming
57,90017341239,100206,CS2401,Object Oriented Programming
58,90017341241,100206,CS2401,Object Oriented Programming
59,90017341242,100206,CS2401,Object Oriented Programming
60,90017341244,100206,CS2401,Object Oriented Programming
61,90017341245,100206,CS2401,Object Oriented Programming
62,90017341247,100206,CS2401,Object Oriented Programming
63,90017341257,100206,CS2401,Object Oriented Programming
64,90017341235,100207,CS2412,Data Structure II
65,90017341236,100207,CS2412,Data Structure II
66,90017341238,100207,CS2412,Data Structure II
67,90017341246,100207,CS2412,Data Structure II
68,90017341250,100207,CS2412,Data Structure II
69,90017341252,100207,CS2412,Data Structure II
70,90017341256,100207,CS2412,Data Structure II
71,90017341248,100208,CS3304,Operating System
72,90017341250,100208,CS3304,Operating System
73,90017341251,100208,CS3304,Operating System
74,90017341253,100208,CS3304,Operating System
75,90017341254,100208,CS3304,Operating System
76,90017341256,100208,CS3304,Operating System
77,90017341259,100208,CS3304,Operating System
78,90017341248,100209,CS3306,Software Engineering
79,90017341250,100209,CS3306,Software Engineering
80,90017341251,100209,CS3306,Software Engineering
81,90017341253,100209,CS3306,Software Engineering
82,90017341254,100209,CS3306,Software Engineering
83,90017341256,100209,CS3306,Software Engineering
84,90017341259,100209,CS3306,Software Engineering
85,90017341238,100207,CS4316,Data Structure III
86,90017341242,100207,CS4316,Data Structure III
87,90017341246,100207,CS4316,Data Structure III
88,90017341250,100207,CS4316,Data Structure III
89,90017341254,100207,CS4316,Data Structure III
90,90017341236,100201,ENG1101,Techincal Writing
91,90017341238,100201,ENG1101,Techincal Writing
92,90017341240,100201,ENG1101,Techincal Writing
93,90017341242,100201,ENG1101,Techincal Writing
94,90017341244,100201,ENG1101,Techincal Writing
95,90017341246,100201,ENG1101,Techincal Writing
96,90017341248,100201,ENG1101,Techincal Writing
97,90017341250,100201,ENG1101,Techincal Writing
98,90017341252,100201,ENG1101,Techincal Writing
99,90017341254,100201,ENG1101,Techincal Writing
100,90017341256,100201,ENG1101,Techincal Writing
101,90017341258,100201,ENG1101,Techincal Writing
102,90017341235,100200,MATH1101,Calculus I 
103,90017341241,100200,MATH1101,Calculus I 
104,90017341243,100200,MATH1101,Calculus I 
105,90017341245,100200,MATH1101,Calculus I 
106,90017341247,100200,MATH1101,Calculus I 
107,90017341253,100200,MATH1101,Calculus I 
108,90017341255,100200,MATH1101,Calculus I 
109,90017341257,100200,MATH1101,Calculus I 
110,90017341259,100200,MATH1101,Calculus I 
111,90017341236,100209,PHY2431,Phisics
112,90017341240,100209,PHY2431,Phisics
113,90017341244,100209,PHY2431,Phisics
114,90017341248,100209,PHY2431,Phisics
115,90017341252,100209,PHY2431,Phisics
116,90017341256,100209,PHY2431,Phisics
117,90017341259,100209,PHY2431,Phisics
118,90017341235,100204,STAT3311 ,Regressional Statistics
119,90017341239,100204,STAT3311 ,Regressional Statistics
120,90017341243,100204,STAT3311 ,Regressional Statistics
121,90017341247,100204,STAT3311 ,Regressional Statistics
122,90017341251,100204,STAT3311 ,Regressional Statistics
123,90017341255,100204,STAT3311 ,Regressional Statistics
124,90017341258,100204,STAT3311 ,Regressional Statistics
